stock symbol,name,macro,sector,industry,basic_industry,total_shares
JUBLCPL,JUBILANT AGRI N CON PRO L,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,0.0
KALAMANDIR,SAI SILKS (KALAMANDIR) L,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,0.0
JUNIORBEES,NIP IND ETF JUNIOR BEES,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme,0.0
JUNIPER,JUNIPER HOTELS LIMITED,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
JUSTDIAL,JUSTDIAL LTD.,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,0.0
JYOTHYLAB,JYOTHY LABS LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,0.0
JYOTISTRUC,JYOTI STRUCTURES LTD,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,1193659878.0
KABRAEXTRU,KABRA EXTRUSION TECHNIK L,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
KAKATCEM,KAKATIYA CEM SUGAR &IND L,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,0.0
KALPATARU,KALPATARU LIMITED,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,0.0
KALYANIFRG,KALYANI FORGE LIMITED,Industrials,Capital Goods,Industrial Products,Castings & Forgings,0.0
KAMATHOTEL,KAMAT HOTELS (I) LTD,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
KAMDHENU,KAMDHENU LIMITED,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,0.0
KANANIIND,KANANI INDUSTRIES LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,0.0
KANORICHEM,KANORIA CHEMICALS & INDUS,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,0.0
KANPRPLA,KANPUR PLASTIPACK LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,0.0
KANSAINER,KANSAI NEROLAC PAINTS LTD,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,0.0
KARMAENG,KARMA ENERGY LIMITED,Utilities,Power,Power,Power Generation,0.0
KAUSHALYA,KAUSHALYA INFRA DEV LTD.,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,0.0
KAYA,KAYA LIMITED,Consumer Discretionary,Consumer Services,Leisure Services,Wellness,0.0
KCP,KCP LTD,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,0.0
KCPSUGIND,KCP SUGAR IND CORP LTD.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,0.0
